Epoch: 43 | Edge Type: o-n | Train Loss: 0.6852 | Train AUCROC: 0.5042 | GPU: 0.0MiB
Epoch: 43 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 44 | Edge Type: o-o-bank | Train Loss: 0.6891 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 44 | Edge Type: o-o-nobank | Train Loss: 0.6371 | Train AUCROC: 0.4960 | GPU: 0.0MiB
Epoch: 44 | Edge Type: o-n | Train Loss: 0.6833 | Train AUCROC: 0.5014 | GPU: 0.0MiB
Epoch: 44 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 45 | Edge Type: o-o-bank | Train Loss: 0.6883 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 45 | Edge Type: o-o-nobank | Train Loss: 0.6363 | Train AUCROC: 0.5011 | GPU: 0.0MiB
Epoch: 45 | Edge Type: o-n | Train Loss: 0.6832 | Train AUCROC: 0.5011 | GPU: 0.0MiB
Epoch: 45 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 46 | Edge Type: o-o-bank | Train Loss: 0.6875 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 46 | Edge Type: o-o-nobank | Train Loss: 0.6359 | Train AUCROC: 0.4930 | GPU: 0.0MiB
Epoch: 46 | Edge Type: o-n | Train Loss: 0.6835 | Train AUCROC: 0.4988 | GPU: 0.0MiB
Epoch: 46 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 47 | Edge Type: o-o-bank | Train Loss: 0.6867 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 47 | Edge Type: o-o-nobank | Train Loss: 0.6351 | Train AUCROC: 0.5011 | GPU: 0.0MiB
Epoch: 47 | Edge Type: o-n | Train Loss: 0.6827 | Train AUCROC: 0.5013 | GPU: 0.0MiB
Epoch: 47 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 48 | Edge Type: o-o-bank | Train Loss: 0.6859 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 48 | Edge Type: o-o-nobank | Train Loss: 0.6343 | Train AUCROC: 0.4874 | GPU: 0.0MiB
Epoch: 48 | Edge Type: o-n | Train Loss: 0.6825 | Train AUCROC: 0.5030 | GPU: 0.0MiB
Epoch: 48 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 49 | Edge Type: o-o-bank | Train Loss: 0.6851 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 49 | Edge Type: o-o-nobank | Train Loss: 0.6339 | Train AUCROC: 0.4835 | GPU: 0.0MiB
Epoch: 49 | Edge Type: o-n | Train Loss: 0.6821 | Train AUCROC: 0.5038 | GPU: 0.0MiB
Epoch: 49 | Edge Type: n-n | Train Loss: 0.7228 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 50 | Edge Type: o-o-bank | Train Loss: 0.6843 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 50 | Edge Type: o-o-nobank | Train Loss: 0.6334 | Train AUCROC: 0.5181 | GPU: 0.0MiB
Epoch: 50 | Edge Type: o-n | Train Loss: 0.6812 | Train AUCROC: 0.5008 | GPU: 0.0MiB
Epoch: 50 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 51 | Edge Type: o-o-bank | Train Loss: 0.6834 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 51 | Edge Type: o-o-nobank | Train Loss: 0.6328 | Train AUCROC: 0.4841 | GPU: 0.0MiB
Epoch: 51 | Edge Type: o-n | Train Loss: 0.6812 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 51 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 52 | Edge Type: o-o-bank | Train Loss: 0.6826 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 52 | Edge Type: o-o-nobank | Train Loss: 0.6324 | Train AUCROC: 0.4829 | GPU: 0.0MiB
Epoch: 52 | Edge Type: o-n | Train Loss: 0.6809 | Train AUCROC: 0.5006 | GPU: 0.0MiB
Epoch: 52 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 53 | Edge Type: o-o-bank | Train Loss: 0.6818 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 53 | Edge Type: o-o-nobank | Train Loss: 0.6316 | Train AUCROC: 0.5249 | GPU: 0.0MiB
Epoch: 53 | Edge Type: o-n | Train Loss: 0.6799 | Train AUCROC: 0.5006 | GPU: 0.0MiB
Epoch: 53 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 54 | Edge Type: o-o-bank | Train Loss: 0.6809 | Train AUCROC: nan | GPU: 0.0MiB
